user_id,Session_Start_Time,Page_URL,Timestamp,Duration_on_Page_s,Interaction_Type,Device_Type,Browser,Country,Referrer
b4df3ce0-15a8-4c37-9a9f-8d1986b24b7d,2023-11-17 11:14:30,login,2023-11-28 16:45:00,26,form_submit,mobile,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/535.12.3 (KHTML, like Gecko) Version/5.0.3 Safari/535.12.3",LY,https://west.net/bloglogin.php
b4df3ce0-15a8-4c37-9a9f-8d1986b24b7d,2023-11-17 11:14:30,main,2023-11-17 15:50:54,236,form_submit,mobile,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_9; rv:1.9.6.20) Gecko/7560-07-12 15:27:25 Firefox/3.8,AG,http://wolfe.com/mainindex.html
b4df3ce0-15a8-4c37-9a9f-8d1986b24b7d,2023-11-17 11:14:30,terms,2023-11-19 10:54:08,181,exit,desktop,Mozilla/5.0 (Android 2.2; Mobile; rv:46.0) Gecko/46.0 Firefox/46.0,KI,http://www.jenkins-taylor.com/blogsearch.html
b4df3ce0-15a8-4c37-9a9f-8d1986b24b7d,2023-11-17 11:14:30,index,2023-11-29 16:55:23,274,form_submit,desktop,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_1; rv:1.9.2.20) Gecko/6675-06-13 05:52:05 Firefox/3.8,LR,https://acosta.com/postsprivacy.html
b4df3ce0-15a8-4c37-9a9f-8d1986b24b7d,2023-11-17 11:14:30,author,2023-11-21 13:25:42,275,form_submit,tablet,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/42.0.847.0 Safari/531.1",MG,http://www.weaver.com/app/searchterms.html
9107e4dd-de1f-441b-9d6a-08644a68fb26,2023-01-29 18:11:58,about,2023-02-02 16:44:02,75,form_submit,tablet,Mozilla/5.0 (Windows NT 5.1; ug-CN; rv:1.9.1.20) Gecko/3663-01-30 20:00:02 Firefox/3.6.7,KI,https://www.mills.com/searchlogin.html
9107e4dd-de1f-441b-9d6a-08644a68fb26,2023-01-29 18:11:58,post,2023-02-21 20:14:48,218,exit,mobile,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/30.0.894.0 Safari/535.0",NE,http://wilkinson.com/search/tagpost.php
9107e4dd-de1f-441b-9d6a-08644a68fb26,2023-01-29 18:11:58,faq,2023-06-17 17:27:40,12,form_submit,desktop,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/5.0),JM,http://www.williams-murphy.com/search/main/tagauthor.html
9107e4dd-de1f-441b-9d6a-08644a68fb26,2023-01-29 18:11:58,main,2023-10-26 23:20:03,157,form_submit,mobile,Opera/9.29.(Windows NT 6.1; st-ZA) Presto/2.9.181 Version/10.00,SB,https://baxter.com/wp-content/mainindex.jsp
9107e4dd-de1f-441b-9d6a-08644a68fb26,2023-01-29 18:11:58,login,2023-04-26 20:53:39,123,form_submit,tablet,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/9.9n6090.0 Mobile/53U161 Safari/532.0",SA,http://www.evans.net/wp-content/explore/mainsearch.htm
9107e4dd-de1f-441b-9d6a-08644a68fb26,2023-01-29 18:11:58,terms,2023-05-31 00:56:02,148,scroll,mobile,Opera/8.99.(X11; Linux x86_64; lg-UG) Presto/2.9.169 Version/10.00,NO,http://www.espinoza-ball.biz/tagscategory.htm
9107e4dd-de1f-441b-9d6a-08644a68fb26,2023-01-29 18:11:58,homepage,2023-09-12 20:28:48,27,exit,mobile,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.0; Trident/3.1),AT,https://www.foster.com/list/searchlogin.htm
9107e4dd-de1f-441b-9d6a-08644a68fb26,2023-01-29 18:11:58,privacy,2023-02-12 13:54:57,196,scroll,desktop,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/4.1),MT,https://www.woods.info/postsauthor.htm
9107e4dd-de1f-441b-9d6a-08644a68fb26,2023-01-29 18:11:58,category,2023-11-09 12:00:52,99,scroll,desktop,"Mozilla/5.0 (Linux; Android 7.1) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/43.0.820.0 Safari/533.2",SZ,http://www.hood.com/categories/list/searchfaq.html
9107e4dd-de1f-441b-9d6a-08644a68fb26,2023-01-29 18:11:58,register,2023-11-15 18:07:15,243,click,mobile,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/532.15.1 (KHTML, like Gecko) Version/4.0 Safari/532.15.1",KW,http://www.gonzalez.biz/tags/tagslogin.asp
9107e4dd-de1f-441b-9d6a-08644a68fb26,2023-01-29 18:11:58,search,2023-02-21 17:30:05,243,scroll,mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/10.7b8621.0 Mobile/59Y253 Safari/536.2",GB,https://www.myers.com/categorypost.html
